module_idx,module_name,category,source,description
2358,Mathlib.CategoryTheory.Bicategory.Functor.Lax,CategoryTheory,name_tokens,category theory category theory bicategory functor lax
2359,Mathlib.CategoryTheory.Bicategory.Functor.LocallyDiscrete,CategoryTheory,name_tokens,category theory category theory bicategory functor locally discrete
2360,Mathlib.CategoryTheory.Bicategory.Functor.Oplax,CategoryTheory,name_tokens,category theory category theory bicategory functor oplax
2361,Mathlib.CategoryTheory.Bicategory.Functor.Prelax,CategoryTheory,name_tokens,category theory category theory bicategory functor prelax
2362,Mathlib.CategoryTheory.Bicategory.Functor.Pseudofunctor,CategoryTheory,name_tokens,category theory category theory bicategory functor pseudofunctor
2363,Mathlib.CategoryTheory.Bicategory.Functor.Strict,CategoryTheory,name_tokens,category theory category theory bicategory functor strict
2364,Mathlib.CategoryTheory.Bicategory.Functor.StrictPseudofunctor,CategoryTheory,name_tokens,category theory category theory bicategory functor strict pseudofunctor
2365,Mathlib.CategoryTheory.Bicategory.Functor.StrictlyUnitary,CategoryTheory,name_tokens,category theory category theory bicategory functor strictly unitary
2366,Mathlib.CategoryTheory.Bicategory.FunctorBicategory.Oplax,CategoryTheory,name_tokens,category theory category theory bicategory functor bicategory oplax
2367,Mathlib.CategoryTheory.Bicategory.FunctorBicategory.Pseudo,CategoryTheory,name_tokens,category theory category theory bicategory functor bicategory pseudo
2368,Mathlib.CategoryTheory.Bicategory.Grothendieck,CategoryTheory,name_tokens,category theory category theory bicategory grothendieck
2369,Mathlib.CategoryTheory.Bicategory.InducedBicategory,CategoryTheory,name_tokens,category theory category theory bicategory induced bicategory
2370,Mathlib.CategoryTheory.Bicategory.Kan.Adjunction,CategoryTheory,name_tokens,category theory category theory bicategory kan adjunction
2371,Mathlib.CategoryTheory.Bicategory.Kan.HasKan,CategoryTheory,name_tokens,category theory category theory bicategory kan has kan
2372,Mathlib.CategoryTheory.Bicategory.Kan.IsKan,CategoryTheory,name_tokens,category theory category theory bicategory kan is kan
2373,Mathlib.CategoryTheory.Bicategory.LocallyDiscrete,CategoryTheory,name_tokens,category theory category theory bicategory locally discrete
2374,Mathlib.CategoryTheory.Bicategory.LocallyGroupoid,CategoryTheory,name_tokens,category theory category theory bicategory locally groupoid
2375,Mathlib.CategoryTheory.Bicategory.Modification.Oplax,CategoryTheory,name_tokens,category theory category theory bicategory modification oplax
2376,Mathlib.CategoryTheory.Bicategory.Modification.Pseudo,CategoryTheory,name_tokens,category theory category theory bicategory modification pseudo
2377,Mathlib.CategoryTheory.Bicategory.Monad.Basic,CategoryTheory,name_tokens,category theory category theory bicategory monad basic
2378,Mathlib.CategoryTheory.Bicategory.NaturalTransformation.Lax,CategoryTheory,name_tokens,category theory category theory bicategory natural transformation lax
2379,Mathlib.CategoryTheory.Bicategory.NaturalTransformation.Oplax,CategoryTheory,name_tokens,category theory category theory bicategory natural transformation oplax
2380,Mathlib.CategoryTheory.Bicategory.NaturalTransformation.Pseudo,CategoryTheory,name_tokens,category theory category theory bicategory natural transformation pseudo
2381,Mathlib.CategoryTheory.Bicategory.Opposites,CategoryTheory,name_tokens,category theory category theory bicategory opposites
2382,Mathlib.CategoryTheory.Bicategory.Product,CategoryTheory,name_tokens,category theory category theory bicategory product
2383,Mathlib.CategoryTheory.Bicategory.SingleObj,CategoryTheory,name_tokens,category theory category theory bicategory single obj
2384,Mathlib.CategoryTheory.Bicategory.Strict,CategoryTheory,name_tokens,category theory category theory bicategory strict
2385,Mathlib.CategoryTheory.Bicategory.Strict.Basic,CategoryTheory,name_tokens,category theory category theory bicategory strict basic
2386,Mathlib.CategoryTheory.Bicategory.Strict.Pseudofunctor,CategoryTheory,name_tokens,category theory category theory bicategory strict pseudofunctor
2387,Mathlib.CategoryTheory.CatCommSq,CategoryTheory,name_tokens,category theory category theory cat comm sq
2388,Mathlib.CategoryTheory.Category.Basic,CategoryTheory,name_tokens,category theory category theory category basic
2389,Mathlib.CategoryTheory.Category.Bipointed,CategoryTheory,name_tokens,category theory category theory category bipointed
2390,Mathlib.CategoryTheory.Category.Cat,CategoryTheory,name_tokens,category theory category theory category cat
2391,Mathlib.CategoryTheory.Category.Cat.Adjunction,CategoryTheory,name_tokens,category theory category theory category cat adjunction
2392,Mathlib.CategoryTheory.Category.Cat.AsSmall,CategoryTheory,name_tokens,category theory category theory category cat as small
2393,Mathlib.CategoryTheory.Category.Cat.CartesianClosed,CategoryTheory,name_tokens,category theory category theory category cat cartesian closed
2394,Mathlib.CategoryTheory.Category.Cat.Colimit,CategoryTheory,name_tokens,category theory category theory category cat colimit
2395,Mathlib.CategoryTheory.Category.Cat.Limit,CategoryTheory,name_tokens,category theory category theory category cat limit
2396,Mathlib.CategoryTheory.Category.Cat.Op,CategoryTheory,name_tokens,category theory category theory category cat op
2397,Mathlib.CategoryTheory.Category.Cat.Terminal,CategoryTheory,name_tokens,category theory category theory category cat terminal
2398,Mathlib.CategoryTheory.Category.Factorisation,CategoryTheory,name_tokens,category theory category theory category factorisation
2399,Mathlib.CategoryTheory.Category.GaloisConnection,CategoryTheory,name_tokens,category theory category theory category galois connection
2400,Mathlib.CategoryTheory.Category.Grpd,CategoryTheory,name_tokens,category theory category theory category grpd
2401,Mathlib.CategoryTheory.Category.Init,CategoryTheory,name_tokens,category theory category theory category init
2402,Mathlib.CategoryTheory.Category.KleisliCat,CategoryTheory,name_tokens,category theory category theory category kleisli cat
2403,Mathlib.CategoryTheory.Category.Pairwise,CategoryTheory,name_tokens,category theory category theory category pairwise
