mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank,original_rank,reranked_score,hier_bonus
jordanholder,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2314,0.0579,0.2893,-1,,5,4,0.3019,0.0
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.OfQuotient,GroupTheory,0.2519,0.0,0.2519,-1,,6,8,0.3001,0.0275
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.2407,0.0,0.2407,-1,,7,9,0.2844,0.0275
jordanholder,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2158,0.054,0.2698,-1,,8,5,0.2761,0.0
jordanholder,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2056,0.0514,0.257,-1,,9,7,0.2592,0.0
jordanholder,solvable,Mathlib.GroupTheory.ClassEquation,GroupTheory,0.2376,0.0,0.2376,-1,,10,10,0.2527,0.0
finmodule,solvable,Mathlib.GroupTheory.Commutator.Finite,GroupTheory,0.3072,0.0,0.3072,2,MEDIUM,1,1,0.3494,0.0307
finmodule,solvable,Mathlib.GroupTheory.FiniteAbelian.Basic,GroupTheory,0.3005,0.0,0.3005,-1,,2,2,0.3463,0.03
finmodule,solvable,Mathlib.GroupTheory.FiniteAbelian.Duality,GroupTheory,0.2967,0.0,0.2967,-1,,3,4,0.3409,0.03
finmodule,solvable,Mathlib.GroupTheory.Abelianization.Finite,GroupTheory,0.2991,0.0,0.2991,-1,,4,3,0.3372,0.0299
finmodule,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.2781,0.0,0.2781,-1,,5,9,0.3093,0.0
finmodule,solvable,Mathlib.GroupTheory.QuotientGroup.Finite,GroupTheory,0.2884,0.0,0.2884,-1,,6,6,0.2962,0.0
finmodule,solvable,Mathlib.GroupTheory.Perm.Finite,GroupTheory,0.2886,0.0,0.2886,-1,,7,5,0.2926,0.0
finmodule,solvable,Mathlib.GroupTheory.SpecificGroups.KleinFour,GroupTheory,0.2255,0.0564,0.2818,-1,,8,8,0.292,0.0
finmodule,solvable,Mathlib.GroupTheory.DedekindFinite,GroupTheory,0.2819,0.0,0.2819,-1,,9,7,0.2871,0.0
finmodule,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2216,0.0554,0.2769,-1,,10,10,0.2855,0.0
center,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.4875,0.0,0.4875,0,HIGH,1,1,0.8292,0.0487
center,solvable,Mathlib.GroupTheory.Submonoid.Center,GroupTheory,0.4788,0.0,0.4788,-1,,2,2,0.8162,0.0479
center,solvable,Mathlib.GroupTheory.Subsemigroup.Center,GroupTheory,0.4774,0.0,0.4774,-1,,3,3,0.8141,0.0477
center,solvable,Mathlib.Algebra.Group.Center,Algebra,0.4113,0.0,0.4113,-1,,4,4,0.7058,0.0
center,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3443,0.0,0.3443,-1,,5,5,0.358,0.0
center,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3418,0.0,0.3418,-1,,6,6,0.3545,0.0
center,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3387,0.0,0.3387,-1,,7,7,0.3502,0.0
center,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3358,0.0,0.3358,-1,,8,8,0.3461,0.0
center,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3321,0.0,0.3321,-1,,9,9,0.341,0.0
center,solvable,Mathlib.GroupTheory.Goursat,GroupTheory,0.3316,0.0,0.3316,-1,,10,10,0.3403,0.0
sylow,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.4973,0.0,0.4973,0,HIGH,1,1,0.848,0.0497
sylow,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3604,0.0,0.3604,-1,,2,2,0.4239,0.036
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.3496,0.0,0.3496,-1,,3,4,0.4199,0.035
sylow,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3517,0.0,0.3517,-1,,4,3,0.4109,0.0352
sylow,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3398,0.0,0.3398,-1,,5,5,0.393,0.034
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.KleinFour,GroupTheory,0.3119,0.0,0.3119,-1,,6,9,0.3383,0.0
sylow,solvable,Mathlib.GroupTheory.RegularWreathProduct,GroupTheory,0.3148,0.0,0.3148,-1,,7,8,0.3363,0.0
sylow,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3189,0.0,0.3189,-1,,8,6,0.3298,0.0
sylow,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3183,0.0,0.3183,-1,,9,7,0.329,0.0
sylow,solvable,Mathlib.GroupTheory.Goursat,GroupTheory,0.308,0.0,0.308,-1,,10,10,0.3145,0.0
all_solvable,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.4306,0.0,0.4306,0,HIGH,1,1,0.6629,0.0431
all_solvable,solvable,Mathlib.Algebra.Lie.Solvable,Algebra,0.2284,0.0,0.2284,-1,,2,2,0.4326,0.0228
all_solvable,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.2227,0.0,0.2227,-1,,3,3,0.254,0.0223
all_solvable,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2142,0.0,0.2142,-1,,4,4,0.2413,0.0214
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.ModEq,GroupTheory,0.2,0.0,0.2,-1,,5,5,0.2,0.0
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.Finite,GroupTheory,0.2,0.0,0.2,-1,,6,6,0.2,0.0
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.Defs,GroupTheory,0.2,0.0,0.2,-1,,7,7,0.2,0.0
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.Basic,GroupTheory,0.2,0.0,0.2,-1,,8,8,0.2,0.0
all_solvable,solvable,Mathlib.GroupTheory.PushoutI,GroupTheory,0.2,0.0,0.2,-1,,9,9,0.2,0.0
all_solvable,solvable,Mathlib.GroupTheory.PresentedGroup,GroupTheory,0.2,0.0,0.2,-1,,10,10,0.2,0.0
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.3453,0.0,0.3453,-1,,1,4,0.4135,0.0345
extraspecial,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3168,0.0792,0.396,1,MEDIUM,2,1,0.4061,0.0
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.3243,0.0,0.3243,-1,,3,8,0.3826,0.033
extraspecial,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2972,0.0743,0.3716,-1,,4,2,0.3791,0.0
extraspecial,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.3304,0.0,0.3304,-1,,5,6,0.3789,0.033
extraspecial,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2957,0.0739,0.3696,-1,,6,3,0.3764,0.0
extraspecial,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3257,0.0,0.3257,-1,,7,7,0.3719,0.0326
extraspecial,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2685,0.0671,0.3357,-1,,8,5,0.3387,0.0
extraspecial,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3206,0.0,0.3206,-1,,9,9,0.3322,0.0
extraspecial,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3196,0.0,0.3196,-1,,10,10,0.3308,0.0
gseries,solvable,Mathlib.GroupTheory.IsSubnormal,GroupTheory,0.413,0.0,0.413,0,HIGH,1,1,0.5434,0.0413
gseries,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3153,0.0,0.3153,-1,,2,2,0.3615,0.0315
gseries,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.308,0.0,0.308,-1,,3,3,0.3506,0.0308
gseries,solvable,Mathlib.GroupTheory.Index,GroupTheory,0.3061,0.0,0.3061,-1,,4,4,0.3477,0.0306
gseries,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3029,0.0,0.3029,-1,,5,5,0.3429,0.0303
gseries,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3024,0.0,0.3024,-1,,6,6,0.3119,0.0
gseries,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.2984,0.0,0.2984,-1,,7,7,0.3063,0.0
gseries,solvable,Mathlib.GroupTheory.Coset.Card,GroupTheory,0.2931,0.0,0.2931,-1,,8,9,0.3029,0.0
gseries,solvable,Mathlib.GroupTheory.Coset.Defs,GroupTheory,0.2925,0.0,0.2925,-1,,9,10,0.302,0.0
