mc_module,ml_module,base_score,concept,synonym,text_v3,broad_pen,reranked
bigop,Mathlib.Data.Finset.Sum,0.3729,0.2857,0.2857,0.0628,0.0,0.4735
bigop,Mathlib.Data.Finset.Prod,0.3716,0.1429,0.125,0.0578,0.0,0.4231
bigop,Mathlib.Data.Finset.Lattice.Prod,0.346,0.1429,0.1111,0.0341,0.0,0.394
bigop,Mathlib.Data.Finset.NoncommProd,0.331,0.1429,0.1,0.035,0.0,0.3782
bigop,Mathlib.Data.Prod.TProd,0.2971,0.0,0.0,0.1135,0.0,0.3085
bigop,Mathlib.Data.Finset.Range,0.2927,0.1429,0.125,0.096,0.0,0.348
bigop,Mathlib.Data.Finset.Finsupp,0.2927,0.1429,0.125,0.0957,0.0,0.348
bigop,Mathlib.Data.Finset.Filter,0.2924,0.1429,0.125,0.0946,0.0,0.3476
bigop,Mathlib.Data.Finset.PiInduction,0.292,0.1429,0.1,0.1481,0.0,0.3505
bigop,Mathlib.Data.Finset.Density,0.2907,0.1429,0.125,0.088,0.0,0.3452
generic_quotient,Mathlib.Data.ZMod.QuotientGroup,0.3364,0.5,0.1429,0.0568,0.0,0.4785
generic_quotient,Mathlib.Order.Quotient,0.3209,0.5,0.3333,0.1168,0.0,0.4843
generic_quotient,Mathlib.Data.Fintype.Quotient,0.2994,0.5,0.25,0.0834,0.0,0.4527
generic_quotient,Mathlib.Data.TypeVec,0.2775,0.0,0.0,0.0352,0.0,0.281
generic_quotient,Mathlib.Order.TypeTags,0.2733,0.0,0.0,0.0183,0.0,0.2751
generic_quotient,Mathlib.Data.ZMod.QuotientRing,0.2705,0.5,0.1429,0.0619,0.0,0.4131
generic_quotient,Mathlib.Order.CompleteLattice.Group,0.2611,0.0,0.0,0.0,0.0,0.2611
generic_quotient,Mathlib.Order.ConditionallyCompleteLattice.Group,0.255,0.0,0.0,0.0,0.0,0.255
generic_quotient,Mathlib.Data.Fintype.Order,0.2542,0.0,0.0,0.0134,0.0,0.2555
generic_quotient,Mathlib.Data.Fintype.Inv,0.2529,0.0,0.0,0.0094,0.0,0.2538
tuple,Mathlib.Data.Fin.Tuple.Take,0.3527,1.0,0.25,0.2963,0.0,0.6523
tuple,Mathlib.Data.Fin.Tuple.Basic,0.3371,1.0,0.25,0.234,0.0,0.6305
tuple,Mathlib.Data.Fin.Tuple.Finset,0.3274,1.0,0.25,0.1954,0.0,0.6169
tuple,Mathlib.Order.Fin.Tuple,0.327,1.0,0.3333,0.1414,0.0,0.6178
tuple,Mathlib.Data.Fin.Tuple.Reflection,0.327,1.0,0.25,0.1936,0.0,0.6164
tuple,Mathlib.Data.Fin.Tuple.Sort,0.321,1.0,0.25,0.1697,0.0,0.608
tuple,Mathlib.Data.Fin.Tuple.NatAntidiagonal,0.3155,1.0,0.1667,0.2176,0.0,0.6006
tuple,Mathlib.Data.Fin.Tuple.Embedding,0.3074,1.0,0.25,0.1154,0.0,0.5889
tuple,Mathlib.Data.Fin.Tuple.Curry,0.3056,1.0,0.25,0.1082,0.0,0.5864
tuple,Mathlib.Data.Fin.Tuple.BubbleSortInduction,0.294,1.0,0.1429,0.1559,0.0,0.571
ssrnotations,Mathlib.Order.Notation,0.3919,0.0,0.0,0.0342,0.0,0.3953
ssrnotations,Mathlib.Data.Int.Notation,0.3531,0.0,0.0,0.0623,0.0,0.3593
ssrnotations,Mathlib.Data.Nat.Notation,0.351,0.0,0.0,0.0542,0.0,0.3564
ssrnotations,Mathlib.Data.Set.Notation,0.3455,0.0,0.0,0.0319,0.0,0.3487
ssrnotations,Mathlib.Data.Finsupp.Notation,0.3375,0.0,0.0,0.0,0.0,0.3375
ssrnotations,Mathlib.Data.PNat.Notation,0.3238,0.0,0.0,0.0551,0.0,0.3293
ssrnotations,Mathlib.Order.SetNotation,0.3109,0.0,0.0,0.0036,0.0,0.3113
ssrnotations,Mathlib.Data.DFinsupp.Notation,0.31,0.0,0.0,0.0,0.0,0.31
ssrnotations,Mathlib.Data.Fin.VecNotation,0.2917,0.0,0.0,0.0,0.0,0.2917
ssrnotations,Mathlib.Data.Int.AbsoluteValue,0.2544,0.0,0.0,0.2175,0.0,0.2761
choice,Mathlib.Data.TypeVec,0.3215,0.0,0.0,0.0458,0.0,0.3261
choice,Mathlib.Order.TypeTags,0.31,0.0,0.0,0.0,0.0,0.31
choice,Mathlib.Order.ZornAtoms,0.2471,0.2,0.1429,0.1884,0.0,0.3274
choice,Mathlib.Logic.Nonempty,0.2455,0.0,0.0,0.1822,0.0,0.2637
