mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
eqtype,boot,Mathlib.Data.Fintype.Defs,Data,0.2325,0.0,0.2325,-1,,8
eqtype,boot,Mathlib.Data.Finset.BooleanAlgebra,Data,0.2316,0.0,0.2316,-1,,9
eqtype,boot,Mathlib.Data.Int.Range,Data,0.231,0.0,0.231,-1,,10
seq,boot,Mathlib.Data.Seq.Seq,Data,0.3828,0.0,0.3828,0,HIGH-UNCERTAIN,1
seq,boot,Mathlib.Data.Seq.Defs,Data,0.3752,0.0,0.3752,-1,,2
seq,boot,Mathlib.Data.List.Pi,Data,0.3678,0.0,0.3678,-1,,3
seq,boot,Mathlib.Data.WSeq.Productive,Data,0.3528,0.0,0.3528,-1,,4
seq,boot,Mathlib.Data.WSeq.Basic,Data,0.3516,0.0,0.3516,-1,,5
seq,boot,Mathlib.Data.List.Palindrome,Data,0.3488,0.0,0.3488,-1,,6
seq,boot,Mathlib.Data.List.Triplewise,Data,0.3428,0.0,0.3428,-1,,7
seq,boot,Mathlib.Data.Seq.Parallel,Data,0.3425,0.0,0.3425,-1,,8
seq,boot,Mathlib.Data.List.Lookmap,Data,0.34,0.0,0.34,-1,,9
seq,boot,Mathlib.Data.List.Induction,Data,0.3399,0.0,0.3399,-1,,10
bigop,boot,Mathlib.Data.Finset.Sum,Data,0.3729,0.0,0.3729,0,HIGH-UNCERTAIN,1
bigop,boot,Mathlib.Data.Finset.Prod,Data,0.3716,0.0,0.3716,-1,,2
bigop,boot,Mathlib.Data.Finset.Lattice.Prod,Data,0.346,0.0,0.346,-1,,3
bigop,boot,Mathlib.Data.Finset.NoncommProd,Data,0.331,0.0,0.331,-1,,4
bigop,boot,Mathlib.Data.Prod.TProd,Data,0.2971,0.0,0.2971,-1,,5
bigop,boot,Mathlib.Data.Finset.Range,Data,0.2927,0.0,0.2927,-1,,6
bigop,boot,Mathlib.Data.Finset.Finsupp,Data,0.2927,0.0,0.2927,-1,,7
bigop,boot,Mathlib.Data.Finset.Filter,Data,0.2924,0.0,0.2924,-1,,8
bigop,boot,Mathlib.Data.Finset.PiInduction,Data,0.292,0.0,0.292,-1,,9
bigop,boot,Mathlib.Data.Finset.Density,Data,0.2907,0.0,0.2907,-1,,10
generic_quotient,boot,Mathlib.Data.ZMod.QuotientGroup,Data,0.3364,0.0,0.3364,1,MEDIUM,1
generic_quotient,boot,Mathlib.Order.Quotient,Order,0.3209,0.0,0.3209,-1,,2
generic_quotient,boot,Mathlib.Data.Fintype.Quotient,Data,0.2994,0.0,0.2994,-1,,3
generic_quotient,boot,Mathlib.Data.TypeVec,Data,0.2775,0.0,0.2775,-1,,4
generic_quotient,boot,Mathlib.Order.TypeTags,Order,0.2733,0.0,0.2733,-1,,5
generic_quotient,boot,Mathlib.Data.ZMod.QuotientRing,Data,0.2705,0.0,0.2705,-1,,6
generic_quotient,boot,Mathlib.Order.CompleteLattice.Group,Order,0.2611,0.0,0.2611,-1,,7
generic_quotient,boot,Mathlib.Order.ConditionallyCompleteLattice.Group,Order,0.255,0.0,0.255,-1,,8
generic_quotient,boot,Mathlib.Data.Fintype.Order,Data,0.2033,0.0508,0.2542,-1,,9
generic_quotient,boot,Mathlib.Data.Fintype.Inv,Data,0.2024,0.0506,0.2529,-1,,10
tuple,boot,Mathlib.Data.Fin.Tuple.Take,Data,0.3527,0.0,0.3527,0,HIGH-UNCERTAIN,1
tuple,boot,Mathlib.Data.Fin.Tuple.Basic,Data,0.3371,0.0,0.3371,-1,,2
tuple,boot,Mathlib.Data.Fin.Tuple.Finset,Data,0.3274,0.0,0.3274,-1,,3
tuple,boot,Mathlib.Order.Fin.Tuple,Order,0.327,0.0,0.327,-1,,4
