mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
sylow,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.5171,0.0,0.5171,0,HIGH,1
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.3727,0.0,0.3727,-1,,2
sylow,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3513,0.0,0.3513,-1,,3
sylow,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3425,0.0,0.3425,-1,,4
sylow,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3422,0.0,0.3422,-1,,5
sylow,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3278,0.0,0.3278,-1,,6
sylow,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3249,0.0,0.3249,-1,,7
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.KleinFour,GroupTheory,0.3212,0.0,0.3212,-1,,8
sylow,solvable,Mathlib.GroupTheory.RegularWreathProduct,GroupTheory,0.3143,0.0,0.3143,-1,,9
sylow,solvable,Mathlib.GroupTheory.SchurZassenhaus,GroupTheory,0.3142,0.0,0.3142,-1,,10
all_solvable,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.4272,0.0,0.4272,0,HIGH,1
all_solvable,solvable,Mathlib.Algebra.Lie.Solvable,Algebra,0.2312,0.0,0.2312,-1,,2
all_solvable,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.225,0.0,0.225,-1,,3
all_solvable,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2165,0.0,0.2165,-1,,4
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.ModEq,GroupTheory,0.2,0.0,0.2,-1,,5
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.Finite,GroupTheory,0.2,0.0,0.2,-1,,6
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.Defs,GroupTheory,0.2,0.0,0.2,-1,,7
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.Basic,GroupTheory,0.2,0.0,0.2,-1,,8
all_solvable,solvable,Mathlib.GroupTheory.PushoutI,GroupTheory,0.2,0.0,0.2,-1,,9
all_solvable,solvable,Mathlib.GroupTheory.PresentedGroup,GroupTheory,0.2,0.0,0.2,-1,,10
extraspecial,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3197,0.0799,0.3996,1,MEDIUM,1
extraspecial,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.3001,0.075,0.3751,-1,,2
extraspecial,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2992,0.0748,0.374,-1,,3
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.3424,0.0,0.3424,-1,,4
extraspecial,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2662,0.0666,0.3328,-1,,5
