mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
seq,boot,Mathlib.Data.Seq.Computation,Data,0.2864,0.0,0.2864,-1,,2
seq,boot,Mathlib.Data.Seq.Parallel,Data,0.2851,0.0,0.2851,-1,,3
seq,boot,Mathlib.Data.WSeq.Productive,Data,0.2845,0.0,0.2845,-1,,4
seq,boot,Mathlib.Data.Seq.Basic,Data,0.2821,0.0,0.2821,-1,,5
seq,boot,Mathlib.Data.Seq.Defs,Data,0.2803,0.0,0.2803,-1,,6
seq,boot,Mathlib.Data.WSeq.Relation,Data,0.2737,0.0,0.2737,-1,,7
seq,boot,Mathlib.Data.List.AList,Data,0.273,0.0,0.273,-1,,8
seq,boot,Mathlib.Data.WSeq.Basic,Data,0.2688,0.0,0.2688,-1,,9
seq,boot,Mathlib.Data.List.Induction,Data,0.2683,0.0,0.2683,-1,,10
bigop,boot,Mathlib.Data.Finset.Range,Data,0.2928,0.0,0.2928,2,MEDIUM,1
bigop,boot,Mathlib.Data.Nat.BitIndices,Data,0.2671,0.0,0.2671,-1,,2
bigop,boot,Mathlib.Data.Finset.Prod,Data,0.2643,0.0,0.2643,-1,,3
bigop,boot,Mathlib.Data.Finset.Sum,Data,0.2643,0.0,0.2643,-1,,4
bigop,boot,Mathlib.Data.Finset.Lattice.Prod,Data,0.25,0.0,0.25,-1,,5
bigop,boot,Mathlib.Data.List.Range,Data,0.2428,0.0,0.2428,-1,,6
bigop,boot,Mathlib.Data.Int.Range,Data,0.2401,0.0,0.2401,-1,,7
bigop,boot,Mathlib.Data.Finset.NoncommProd,Data,0.2389,0.0,0.2389,-1,,8
bigop,boot,Mathlib.Data.Multiset.Range,Data,0.2378,0.0,0.2378,-1,,9
bigop,boot,Mathlib.Data.List.FinRange,Data,0.2342,0.0,0.2342,-1,,10
generic_quotient,boot,Mathlib.Order.Quotient,Order,0.3438,0.0,0.3438,1,MEDIUM,1
generic_quotient,boot,Mathlib.Data.ZMod.QuotientGroup,Data,0.2972,0.0,0.2972,-1,,2
generic_quotient,boot,Mathlib.Data.Fintype.Quotient,Data,0.2923,0.0,0.2923,-1,,3
generic_quotient,boot,Mathlib.Data.TypeVec,Data,0.2573,0.0,0.2573,-1,,4
generic_quotient,boot,Mathlib.Order.TypeTags,Order,0.2497,0.0,0.2497,-1,,5
generic_quotient,boot,Mathlib.Data.ZMod.QuotientRing,Data,0.2487,0.0,0.2487,-1,,6
generic_quotient,boot,Mathlib.Logic.Encodable.Pi,Logic,0.2079,0.0,0.2079,-1,,7
generic_quotient,boot,Mathlib.Logic.Relation,Logic,0.1983,0.0,0.1983,-1,,8
generic_quotient,boot,Mathlib.Data.Rat.Encodable,Data,0.1969,0.0,0.1969,-1,,9
generic_quotient,boot,Mathlib.Order.CompleteLattice.Group,Order,0.1944,0.0,0.1944,-1,,10
