mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,name_score,text_score,category_score,graph_score,combined_score,rank
finmodule,solvable,Mathlib.GroupTheory.Abelianization.Finite,GroupTheory,0.1429,0.0516,1.0,0.0,0.1635,7
finmodule,solvable,Mathlib.GroupTheory.DedekindFinite,GroupTheory,0.125,0.0573,1.0,0.0,0.1604,8
finmodule,solvable,Mathlib.GroupTheory.FreeAbelianGroup,GroupTheory,0.0,0.1446,1.0,0.0,0.1578,9
finmodule,solvable,Mathlib.GroupTheory.FiniteIndexNormalSubgroup,GroupTheory,0.1,0.0568,1.0,0.0,0.1527,10
center,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.4,0.0945,1.0,0.0,0.2578,1
center,solvable,Mathlib.GroupTheory.Submonoid.Center,GroupTheory,0.4,0.0692,1.0,0.0,0.2477,2
center,solvable,Mathlib.GroupTheory.Subsemigroup.Center,GroupTheory,0.4,0.0663,1.0,0.0,0.2465,3
center,solvable,Mathlib.Algebra.Group.Center,Algebra,0.6667,0.065,0.0,0.0,0.226,4
center,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.2,0.0236,1.0,0.0,0.1694,5
center,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.2,0.0207,1.0,0.0,0.1683,6
center,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.2,0.0171,1.0,0.0,0.1668,7
center,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.1667,0.0419,1.0,0.0,0.1668,8
center,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.2,0.0169,1.0,0.0,0.1667,9
center,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.2,0.0166,1.0,0.0,0.1666,10
sylow,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.4,0.4869,1.0,0.2,0.4548,1
sylow,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.1667,0.2014,1.0,0.1667,0.2639,2
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.Cyclic,GroupTheory,0.1111,0.1581,1.0,0.0556,0.2077,3
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.1111,0.1106,1.0,0.1111,0.1998,4
sylow,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.1667,0.044,1.0,0.1429,0.1962,5
sylow,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.1667,0.0425,1.0,0.1,0.187,6
sylow,solvable,Mathlib.GroupTheory.Commutator.Finite,GroupTheory,0.1429,0.0325,1.0,0.125,0.1808,7
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.0833,0.1347,1.0,0.0,0.1789,8
sylow,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.1111,0.1083,1.0,0.0,0.1767,9
sylow,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.1667,0.0623,1.0,0.0,0.1749,10
all_solvable,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.2,0.3973,1.0,0.0,0.3189,1
all_solvable,solvable,Mathlib.Algebra.Lie.Solvable,Algebra,0.25,0.4123,0.0,0.0,0.2399,2
all_solvable,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.Centralizer,GroupTheory,0.0,0.0,1.0,0.1429,0.1286,3
all_solvable,solvable,Mathlib.GroupTheory.FreeGroup.CyclicallyReduced,GroupTheory,0.0,0.0,1.0,0.1429,0.1286,4
all_solvable,solvable,Mathlib.GroupTheory.GroupExtension.Basic,GroupTheory,0.0,0.0,1.0,0.1429,0.1286,5
all_solvable,solvable,Mathlib.Data.Bool.AllAny,Data,0.1667,0.1938,0.0,0.0,0.1275,6
all_solvable,solvable,Mathlib.GroupTheory.Coxeter.Inversion,GroupTheory,0.0,0.0,1.0,0.125,0.125,7
all_solvable,solvable,Mathlib.GroupTheory.IndexNormal,GroupTheory,0.0,0.0,1.0,0.125,0.125,8
all_solvable,solvable,Mathlib.Util.GetAllModules,Util,0.1667,0.1819,0.0,0.0,0.1227,9
